商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
コタロー加味逍遙散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000186,加味逍遙散,,頭痛、頭重、のぼせ、肩こり、倦怠感などがあって食欲減退し、便秘するもの。神経症、不眠症、更年期障害、月経不順、胃神経症、胃アトニー症、胃下垂症、胃拡張症、便秘症、湿疹。,,水製乾燥エキス(5.0g),サイコ(3.0g)、シャクヤク(3.0g)、トウキ(3.0g)、ビャクジュツ(3.0g)、ブクリョウ(3.0g)、カンゾウ(2.0g)、サンシシ(2.0g)、ボタンピ(2.0g)、ショウキョウ(1.0g)、ハッカ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.4参照］8.4　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー甘麦大棗湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006228,甘麦大棗湯,,小児および婦人の神経症、不眠症。,,水製乾燥エキス(6.3g),タイソウ(6.0g)、カンゾウ(5.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー桔梗石膏エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000187,桔梗石膏,,咳嗽あるいは化膿するもの。,,水製乾燥エキス(1.4g),セッコウ(10.0g)、キキョウ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー芎帰膠艾湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006229,芎帰膠艾湯,,冷え症で、出血過多により、貧血するもの。痔出血、外傷後の内出血、産後出血、貧血症。,,水製乾燥エキス(7.0g),ジオウ(6.0g)、シャクヤク(4.5g)、トウキ(4.5g)、ガイヨウ(3.0g)、カンゾウ(3.0g)、センキュウ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,15.0g,通常、成人1日15.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー九味檳榔湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000188,九味檳榔湯,,心悸亢進、肩こり、倦怠感があって、便秘の傾向があるもの。脚気、高血圧、動脈硬化、及びこれらに伴う頭痛。,,水製乾燥エキス(3.7g),ビンロウジ(4.0g)、ケイヒ(3.0g)、コウボク(3.0g)、ブクリョウ(3.0g)、ソヨウ(1.5g)、カンゾウ(1.0g)、ゴシュユ(1.0g)、ショウキョウ(1.0g)、ダイオウ(1.0g)、モッコウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.4　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー桂枝加芍薬湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00001014,桂枝加芍薬湯,,腹部膨満感のある次の諸症しぶり腹、腹痛,,水製乾燥エキス(4.5g),シャクヤク(6.0g)、ケイヒ(4.0g)、タイソウ(4.0g)、カンゾウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー桂枝加朮附湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016129,桂枝加朮附湯,,冷え症で痛み、四肢に麻痺感があるもの、あるいは屈伸困難のもの。神経痛、関節炎、リウマチ。,,水製乾燥エキス(5.3g),ケイヒ(4.0g)、シャクヤク(4.0g)、ソウジュツ(4.0g)、タイソウ(4.0g)、カンゾウ(2.0g)、ショウキョウ(1.0g)、ブシ末2(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ブシを含む製剤との併用には、特に注意すること。,
コタロー桂枝加竜骨牡蛎湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006230,桂枝加竜骨牡蛎湯,,神経症状があり、頭痛、のぼせ、耳鳴りなどを伴って疲労しやすく、臍部周辺に動悸を自覚して排尿回数、尿量ともに増加するもの。神経衰弱、心悸亢進、性的ノイローゼ、陰萎、小児夜尿症、夜驚症、脱毛症。,,水製乾燥エキス(4.7g),ケイヒ(4.0g)、シャクヤク(4.0g)、タイソウ(4.0g)、ボレイ(3.0g)、リュウコツ(3.0g)、カンゾウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー桂枝湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006232,桂枝湯,,自然発汗があって、微熱、悪寒するもの。感冒、頭痛、神経痛、関節・筋肉リウマチ、神経衰弱。,,水製乾燥エキス(4.0g),ケイヒ(4.0g)、シャクヤク(4.0g)、タイソウ(4.0g)、カンゾウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー桂枝茯苓丸料エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016140,桂枝茯苓丸,,比較的体力があり、ときに下腹部痛、肩こり、頭重、めまい、のぼせて足冷えなどを訴える次の諸症月経不順、月経異常、月経痛、更年期障害、血の道症、肩こり、めまい、頭重、打ち身（打撲症）、しもやけ、しみ。,,水製乾燥エキス(2.8g),ケイヒ(4.0g)、シャクヤク(4.0g)、トウニン(4.0g)、ブクリョウ(4.0g)、ボタンピ(4.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
