商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
杞菊妙見丸,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601011083,杞菊地黄丸,体力中等度以下で、疲れやすく胃腸障害がなく、尿量減少又は多尿で、ときに手足のほてりや口渇があるものの次の諸症：,かすみ目、疲れ目、のぼせ、頭重、めまい、排尿困難、頻尿、むくみ、視力低下,"本剤は、中国清代に著された《医級》に記載されている「杞菊地黄丸」の処方に基づくもので、六味地黄丸に枸杞子と菊花を加えたものです。体力中等度以下で、疲れやすく胃腸障害がなく、尿量減少又は多尿で、ときに手足のほてりや口渇がある方のかすみ目、つかれ目、のぼせ、頭重、めまい、排尿困難、頻尿、むくみ、視力低下の改善に効果があります。
〔八ッ目製薬（株）・一粒丸　三橋薬局販売より〕
　本剤は、中国の古典「医級」に収載された処方に準拠して製造された丸剤です。
　老化は目からくる、ともしばしばいわれるように、中高年になると疲れやすくなったり、トイレが近い、気持よく出ない、などといった症状とともに、目が疲れやすくなる、目が充血したり痛みを覚えるとか、かすんで細かな字が見にくくなったりすることがあります。
　これは若い人でもパソコンなどのOA機器で目を酷使したあとなどにも見られる現象ですが、中医学では肝腎陰虚によって起こるとされています。
　杞菊妙見丸は、六味地黄丸に枸杞子（クコの実）と菊花（菊の花）を加えた漢方薬です。
〔小太郎漢方製薬（株）販売より〕",,ジオウ(1.152g)、サンシュユ(0.576g)、サンヤク(0.576g)、タクシャ(0.432g)、ブクリョウ(0.432g)、ボタンピ(0.432g)、キクカ(0.288g)、クコシ(0.288g),ハチミツ、カッセキ,24丸,"次の量を1日3回水又は白湯で服用して下さい。

［年齢：1回量：1日服用回数］
成人（15歳以上）：8丸：3回
15歳未満：服用しないこと","■相談すること
 

 1．次の人は服用前に医師、薬剤師又は登録販売者に相談して下さい。
　（1）医師の治療を受けている人
　（2）妊婦又は妊娠していると思われる人
　（3）胃腸が弱く下痢しやすい人
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人
2．服用後、次の症状があらわれた場合は副作用の可能性があるので、直ちに服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談して下さい。

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感、腹痛

3．服用後、次の症状があらわれることがあるので、このような症状の持続又は増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談して下さい。
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師又は登録販売者に相談して下さい。",
ゴリンサンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000327,五淋散,体力中等度のものの次の諸症：,排尿痛、頻尿、残尿感、尿のにごり,"本剤は、漢方の古典「和剤局方」（宋代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ゴリンサンNは、尿道や膀胱に対する清熱（消炎・解熱）作用や、利尿と鎮痛・鎮痙の作用もあり、主として尿路系の炎症症状をとるのに用いられる漢方薬です。
　すなわち、しばしばトイレに行くがうまく出ない方、排尿時に痛みや残尿感がある方などに効果がありますが、特に一時好転してもすぐに再発するといったように、経過が長引く場合に用いられます。
　一般にそのような場合、刺激性の食物（酒、香辛料、塩分など）や冷たい物を控え、からだ、特に腰部を冷やさないなどの養生も大切です。",エキス散(3.36g),ブクリョウ(3g)、オウゴン(1.5g)、カッセキ(1.5g)、カンゾウ(1.5g)、ジオウ(1.5g)、シャゼンシ(1.5g)、タクシャ(1.5g)、トウキ(1.5g)、モクツウ(1.5g)、サンシシ(1g)、シャクヤク(1g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物,15錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：5錠：3回
15歳未満7歳以上：4錠：3回
7歳未満5歳以上：3錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
　（4）高齢者。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ゴレーンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000157,五苓散,体力に関わらず使用でき、のどが渇いて尿量が少ないもので、めまい、吐き気、嘔吐、腹痛、頭痛、むくみなどのいずれかを伴う次の諸症：,水様性下痢、急性胃腸炎（しぶり腹のものには使用しないこと）、暑気あたり、頭痛、むくみ、二日酔,"本剤は、漢方の古典「傷寒論」、「金匱要略」（いずれも後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ゴレーンNは、水滞・水毒という漢方の症状、すなわち体内の水分代謝がうまくいかない場合に用いる薬です。体内の水分は、腎臓、胃腸、皮膚などから尿や便、汗として排泄され、バランスが保たれています。それらのバランスが崩れると、むくみ（浮腫）が出たり、はき気、はき下し、下痢、頭痛、腹痛、胃内停水などの症状があらわれます。そのような場合には、のどが渇き、たくさんの水を飲むのに尿の出が少なくなることもあります。暑さ負け、ジュースやビールなど、水分のとりすぎによる上記の症状にも使えます。",五苓散エキス(1.6g),タクシャ(3g)、チョレイ(2.25g)、ビャクジュツ(2.25g)、ブクリョウ(2.25g)、ケイヒ(1.25g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、ステアリン酸マグネシウム、トウモロコシデンプン、メタケイ酸アルミン酸マグネシウム,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位（急性胃腸炎、二日酔に服用する場合には5～6回、水様性下痢、暑気あたりに服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
サイケーカンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000017,柴胡桂枝乾姜湯,体力中等度以下で、冷え症、貧血気味、神経過敏で、動悸、息切れ、ときにねあせ、頭部の発汗、口のかわきがあるものの次の諸症：,不眠症、神経症、動悸、息切れ、かぜの後期の症状、気管支炎、更年期障害、血の道症,"本剤は、漢方の古典「傷寒論」、「金匱要略」（いずれも後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　サイケーカンNは、平素余り丈夫でない方、イライラして睡眠も十分にとれない、といった神経症状が著しく、時に動悸や息切れを覚えるような方に用いられます。
　また、更年期障害、血の道症にも効果があります。",柴胡桂枝乾姜湯エキス散(2.1g),サイコ(3g)、オウゴン(1.5g)、カロコン(1.5g)、ケイヒ(1.5g)、ボレイ(1.5g)、カンキョウ(1g)、カンゾウ(1g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（かぜの後期の症状に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
サイケットN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000304,柴胡桂枝湯,体力中等度又はやや虚弱で、多くは腹痛を伴い、ときに微熱・寒気・頭痛・吐き気などのあるものの次の諸症：,胃腸炎、かぜの中期から後期の症状,"本剤は、漢方の古典「傷寒論」、「金匱要略」（いずれも後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　漢方では、風邪の手当ても体調や経過に応じて薬を選びますが、サイケットNは、風邪の中期から後期や、胃腸症状を伴う風邪に用いる漢方薬です。
　スッキリ治りきらない風邪に用いるほか、微熱や頭痛があったり、はき気、腹痛といった胃腸症状を伴う場合にも効果があります。",柴胡桂枝湯エキス散(2.4g),サイコ(2.5g)、ハンゲ(2g)、ケイヒ(1.25g)、オウゴン(1g)、シャクヤク(1g)、タイソウ(1g)、ニンジン(1g)、カンゾウ(0.75g)、ショウキョウ(0.25g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
その他：頻尿、排尿痛、血尿、残尿感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（かぜの中期から後期の症状の場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
サイボックN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000186,柴朴湯,体力中等度で、気分がふさいで、咽喉、食道部に異物感があり、かぜをひきやすく、ときに動悸、めまい、嘔気などを伴うものの次の諸症：,気管支ぜんそく、小児ぜんそく、せき、気管支炎、不安神経症、虚弱体質,"本剤は、漢方の古典「傷寒論」、「金匱要略」（いずれも後漢時代）収載の薬方を基本としたわが国経験処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ぜんそくや気管支炎にかかり、のどがぜいぜいして息苦しいのは、はた目にもつらいものですが、それがたびたび繰り返されると、気分もふさぎがちになるものです。
　サイボックNは、発作への不安のつよい方、心配ごとなどがあると発作を起こしやすい方などにおすすめしたい漢方薬です。",柴朴湯エキス散(3.6g),サイコ(3.5g)、ハンゲ(3g)、ブクリョウ(2.5g)、オウゴン(1.5g)、コウボク(1.5g)、タイソウ(1.5g)、ニンジン(1.5g)、カンゾウ(1g)、ソヨウ(1g)、ショウキョウ(0.5g),含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）高齢者。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
その他：頻尿、排尿痛、血尿、残尿感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
サイリュンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000029,柴胡加竜骨牡蠣湯,体力中等度以上で、精神不安があって、動悸、不眠、便秘などを伴う次の諸症：,高血圧の随伴症状（動悸、不安、不眠）、神経症、更年期神経症、小児夜なき、便秘,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　現代はストレスの多い時代といわれますが、気苦労の多い仕事や環境等で心の緊張が続いたり、体は比較的丈夫なほうでもよく眠れない、落ち着かない、不安といった精神症状や、自律神経系を介して動悸、高血圧など、いろいろな症状があらわれやすくなるものです。
　漢方では、精神的ストレスによって肝（今日でいう自律神経系）に乱れが生じ、心身に変調を来たすと考えます。
　サイリュンNは、疏肝作用といって、漢方でいう肝をリラックスさせる働きで、これらの症状を緩和する漢方薬です。",エキス散(3g),サイコ(2.5g)、ハンゲ(2g)、ケイヒ(1.5g)、ブクリョウ(1.5g)、オウゴン(1.25g)、タイソウ(1.25g)、ニンジン(1.25g)、ボレイ(1.25g)、リュウコツ(1.25g)、ダイオウ(0.5g)、ショウキョウ(0.35g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、クロスカルメロースナトリウム(クロスCMC-Na)、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：はげしい腹痛を伴う下痢、腹痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　軟便、下痢
4．1ヵ月位（小児夜泣き、便秘に服用する場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
シギロンN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1901000068,四逆散,体力中等度以上で、胸腹部に重苦しさがあり、ときに不安、不眠などがあるものの次の諸症：,胃炎、胃痛、腹痛、神経症,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　現代はストレス社会ともいわれますが、日常の精神的な緊張などから胃やおなかがキリキリ痛んだり、胸腹部が重苦しくなる方が少なくありません。
　シギロンNは、このように胃腸機能が失調した状態にある方、あるいはおなかが痛んだり重苦しいといった方に用いられる漢方薬です。",エキス散(1.5g),サイコ(2.5g)、シャクヤク(2g)、キジツ(1g)、カンゾウ(0.75g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
2．1ヵ月位（胃炎、胃痛、腹痛に服用する場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
シモツN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000312,四物湯,体力虚弱で、冷え症で皮膚が乾燥、色つやの悪い体質で胃腸障害のないものの次の諸症：,月経不順、月経異常、更年期障害、血の道症、冷え症、しもやけ、しみ、貧血、産後あるいは流産後の疲労回復,"本剤は、漢方の古典「和剤局方」（宋代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　シモツNは、顔や皮膚の色艶がわるい方に、また血の道症や生理不順などの症状のある方に用いる漢方の基本的な処方です。これらの症状は自律神経やホルモンのバランスとも関係があるとされていますが、漢方では「血虚」のあらわれとみなし、それらを改善するのにシモツNが用いられます。また、しもやけ、しみにも効果があります。",エキス散(2.52g),ジオウ(2g)、シャクヤク(2g)、センキュウ(2g)、トウキ(2g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,9錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：3錠：3回
15歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）下痢しやすい人。
　（6）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：胃部不快感、食欲不振、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
シモラN「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000439,当帰四逆加呉茱萸生姜湯,体力中等度以下で、手足の冷えを感じ、下肢の冷えが強く、下肢又は下腹部が痛くなりやすいものの次の諸症：,冷え症、しもやけ、頭痛、下腹部痛、腰痛、下痢、月経痛,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　シモラNは、しもやけを初め、冷えから来る頭痛、腰痛、下腹の痛みなどに用いられます。手足の先やお腹、腰など体が冷えるという方はわが国では多いのですが、現代医学では必ずしも病気として扱われません。手や下半身から冷えがちな職場や家事の環境、冷房、衣服など原因もいろいろですが、いずれにしても毎年しもやけに悩まされたり、持病のような頭痛などの原因ともなる冷えを軽くみることはできません。冷え症は漢方の得意とする分野とされますが、シモラNは、体の内からこれらの症状を改善するお薬です。",エキス散(3.42g),タイソウ(2.5g)、ケイヒ(1.5g)、シャクヤク(1.5g)、トウキ(1.5g)、モクツウ(1.5g)、カンゾウ(1g)、ゴシュユ(1g)、サイシン(1g)、ショウキョウ(0.5g),カルメロースカルシウム(CMC-Ca)、含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）高齢者。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
ジューゼンS「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000760,十全大補湯,,病後の体力低下、疲労倦怠、食欲不振、ねあせ、手足の冷え、貧血,"本剤は、漢方の古典「和剤局方」（宋代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　ジューゼンSは、病後で体力の弱っている方、胃腸が弱く、疲労・貧血気味の方に効果があります。
　また手足の冷えでお悩みの方にも用いられます。",十全大補湯エキス(3.45g),オウギ(1.5g)、ケイヒ(1.5g)、ジオウ(1.5g)、シャクヤク(1.5g)、センキュウ(1.5g)、トウキ(1.5g)、ニンジン(1.5g)、ビャクジュツ(1.5g)、ブクリョウ(1.5g)、カンゾウ(0.5g),酸化チタン、ステアリン酸マグネシウム、タルク、トウモロコシデンプン、乳糖水和物、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、メタケイ酸アルミン酸マグネシウム、カラメル、カルナウバロウ、サラシミツロウ,12錠,"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：3回
15歳未満7歳以上：3錠：3回
7歳未満5歳以上：2錠：3回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
